id;name;created_by;created_date;last_modified_by;last_modified_date
1;ADMIN;system;2017-12-04 09:32:31.432012;;null
2;USER;system;2017-12-04 09:32:31.432012;;null
3;ADMIN_GLOBAL;system;2017-12-04 09:32:31.432012;;null
4;USER_FILLING;system;2017-12-04 09:32:31.432012;;null
